date,product,category,quantity_sold,initial_stock,wasted_quantity,price,promotion,day_of_week,month,is_weekend,is_summer,weather_effect
2025-09-30 04:07:02.979510,lait_frais,dairy,53,59,6,13.126466040849092,0,1,9,0,0,6.476885381006925
2025-09-30 04:07:02.979510,yaourt,dairy,67,74,7,3.5676631379480734,0,1,9,0,0,15.230298564080254
2025-09-30 04:07:02.979510,fromage,dairy,28,34,6,6.129065806111684,0,1,9,0,0,-17.249178325130327
2025-09-30 04:07:02.979510,steak_boeuf,meat,43,53,10,1.6503057780799681,0,1,9,0,0,-5.622875292409727
2025-09-30 04:07:02.979510,poulet_frais,meat,45,54,9,7.932476741557783,0,1,9,0,0,-6.006386899188049
2025-09-30 04:07:02.979510,saumon,fish,42,52,10,3.5879623773573783,0,1,9,0,0,-2.916937497932768
2025-09-30 04:07:02.979510,crevettes,fish,71,78,7,5.554624630685701,0,1,9,0,0,7.384665799954105
2025-09-30 04:07:02.979510,tomates,produce,69,78,9,8.597745164215478,1,1,9,0,0,1.713682811899705
2025-09-30 04:07:02.979510,salade,produce,34,47,13,11.206100352573822,0,1,9,0,0,-6.769220003059587
2025-09-30 04:07:02.979510,carottes,produce,62,73,11,1.8898169040043309,0,1,9,0,0,6.116762888408679
2025-09-30 04:07:02.979510,pommes,produce,74,84,10,10.98542702112193,1,1,9,0,0,8.12525822394198
2025-09-30 04:07:02.979510,bananes,produce,69,79,10,6.985574257019695,0,1,9,0,0,13.562400285708229
2025-09-29 04:07:02.979519,lait_frais,dairy,43,56,13,2.077718737603102,0,0,9,0,0,-2.1967188783751195
2025-09-29 04:07:02.979519,yaourt,dairy,68,81,13,13.200448262628047,1,0,9,0,0,3.5711257151174642
2025-09-29 04:07:02.979519,fromage,dairy,77,92,15,2.5407269433874746,1,0,9,0,0,0.9707754934804038
2025-09-29 04:07:02.979519,steak_boeuf,meat,73,87,14,8.15046223608592,1,0,9,0,0,9.686449905328892
2025-09-29 04:07:02.979519,poulet_frais,meat,64,72,8,10.84226542453249,1,0,9,0,0,-3.427145165267695
2025-09-29 04:07:02.979519,saumon,fish,60,68,8,1.5164172629634591,0,0,9,0,0,-8.02277269221619
2025-09-29 04:07:02.979519,crevettes,fish,50,57,7,11.662674614602047,0,0,9,0,0,-1.9236096478112252
2025-09-29 04:07:02.979519,tomates,produce,47,58,11,8.500845577046618,0,0,9,0,0,3.0154734233361244
2025-09-29 04:07:02.979519,salade,produce,29,40,11,1.2322296049899861,0,0,9,0,0,-9.905363251306884
2025-09-29 04:07:02.979519,carottes,produce,44,53,9,2.9252932180439055,0,0,9,0,0,-5.662977296027719
2025-09-29 04:07:02.979519,pommes,produce,75,85,10,4.385932072606323,1,0,9,0,0,8.135172173696697
2025-09-29 04:07:02.979519,bananes,produce,46,57,11,5.888934044577253,1,0,9,0,0,-12.308643164339552
2025-09-28 04:07:02.979523,lait_frais,dairy,68,83,15,1.128758722632815,0,6,9,1,0,-6.800247215784908
2025-09-28 04:07:02.979523,yaourt,dairy,56,62,6,10.686532767697706,0,6,9,1,0,2.3225369716100355
2025-09-28 04:07:02.979523,fromage,dairy,58,70,12,12.889127746918492,0,6,9,1,0,-9.746816702273215
2025-09-28 04:07:02.979523,steak_boeuf,meat,75,84,9,4.4158550073071705,0,6,9,1,0,7.870846037424521
2025-09-28 04:07:02.979523,poulet_frais,meat,75,85,10,11.114329613661074,0,6,9,1,0,0.13001891877907018
2025-09-28 04:07:02.979523,saumon,fish,74,83,9,13.996459876228155,0,6,9,1,0,14.535340771573168
2025-09-28 04:07:02.979523,crevettes,fish,74,82,8,8.795217674416902,1,6,9,1,0,-8.46793718068405
2025-09-28 04:07:02.979523,tomates,produce,63,68,5,14.860753901459686,0,6,9,1,0,-15.148472246858645
2025-09-28 04:07:02.979523,salade,produce,59,71,12,5.1102858197029075,0,6,9,1,0,3.577873603482833
2025-09-28 04:07:02.979523,carottes,produce,97,112,15,8.021228125620794,1,6,9,1,0,5.607845263682344
2025-09-28 04:07:02.979523,pommes,produce,101,109,8,2.315747157772166,1,6,9,1,0,9.540017634932024
2025-09-28 04:07:02.979523,bananes,produce,73,83,10,9.27166564796615,0,6,9,1,0,6.51391251305798
2025-09-27 04:07:02.979524,lait_frais,dairy,39,49,10,4.021494384955805,0,5,9,1,0,-4.719318657894335
2025-09-27 04:07:02.979524,yaourt,dairy,78,88,10,9.924018620974891,0,5,9,1,0,10.88950596967366
2025-09-27 04:07:02.979524,fromage,dairy,58,62,4,14.47707780549095,0,5,9,1,0,-6.61786464768388
2025-09-27 04:07:02.979524,steak_boeuf,meat,81,87,6,4.503400574304335,0,5,9,1,0,8.524333347962239
2025-09-27 04:07:02.979524,poulet_frais,meat,73,85,12,9.56409044728093,1,5,9,1,0,-12.608839543350452
2025-09-27 04:07:02.979524,saumon,fish,72,85,13,2.625016967096827,0,5,9,1,0,9.17861947054776
2025-09-27 04:07:02.979524,crevettes,fish,52,57,5,7.62860479092792,0,5,9,1,0,4.438194281462284
2025-09-27 04:07:02.979524,tomates,produce,64,75,11,1.6342561368086232,0,5,9,1,0,7.746340534293368
2025-09-27 04:07:02.979524,salade,produce,73,79,6,9.99386989488842,0,5,9,1,0,11.631637521549596
2025-09-27 04:07:02.979524,carottes,produce,79,90,11,8.638635050423089,0,5,9,1,0,0.10233061019587049
2025-09-27 04:07:02.979524,pommes,produce,81,89,8,1.3258071003015621,0,5,9,1,0,2.8099186773503266
2025-09-27 04:07:02.979524,bananes,produce,65,77,12,13.28460818937874,0,5,9,1,0,-6.2269951982059375
2025-09-26 04:07:02.979526,lait_frais,dairy,46,55,9,11.869781450387956,0,4,9,0,0,-8.289950109220722
2025-09-26 04:07:02.979526,yaourt,dairy,61,70,9,11.563600237185552,1,4,9,0,0,-5.601810401969695
2025-09-26 04:07:02.979526,fromage,dairy,56,61,5,14.30086753871127,0,4,9,0,0,6.819529712949639
2025-09-26 04:07:02.979526,steak_boeuf,meat,62,71,9,5.601303635178823,0,4,9,0,0,-3.1026675659345604
2025-09-26 04:07:02.979526,poulet_frais,meat,60,70,10,8.693404352532298,0,4,9,0,0,6.241198170521551
2025-09-26 04:07:02.979526,saumon,fish,55,60,5,11.661148844044611,0,4,9,0,0,6.283455092642799
2025-09-26 04:07:02.979526,crevettes,fish,54,67,13,2.1388829289865967,0,4,9,0,0,2.4496657110872277
2025-09-26 04:07:02.979526,tomates,produce,61,74,13,2.1690100337813627,1,4,9,0,0,-5.069431753711298
2025-09-26 04:07:02.979526,salade,produce,64,74,10,7.561248987917768,0,4,9,0,0,8.576596232020194
2025-09-26 04:07:02.979526,carottes,produce,33,44,11,9.167162711360234,0,4,9,0,0,-1.599385299634271
2025-09-26 04:07:02.979526,pommes,produce,75,93,18,14.578303573906947,0,4,9,0,0,6.901439917111125
2025-09-26 04:07:02.979526,bananes,produce,52,62,10,10.74048164578464,1,4,9,0,0,-4.012204718858363
2025-09-25 04:07:02.979527,lait_frais,dairy,57,72,15,9.681856369221514,0,3,9,0,0,8.723206367206782
2025-09-25 04:07:02.979527,yaourt,dairy,46,54,8,2.088284917509788,0,3,9,0,0,1.8334200573835173
2025-09-25 04:07:02.979527,fromage,dairy,63,75,12,6.855402508068664,0,3,9,0,0,9.504238381860503
2025-09-25 04:07:02.979527,steak_boeuf,meat,57,63,6,6.332471992834301,0,3,9,0,0,-5.769036556624031
2025-09-25 04:07:02.979527,poulet_frais,meat,42,52,10,14.226720218353993,0,3,9,0,0,-15.944276587943671
2025-09-25 04:07:02.979527,saumon,fish,52,63,11,10.403809581681994,0,3,9,0,0,-5.993750229537729
2025-09-25 04:07:02.979527,crevettes,fish,55,68,13,12.930541004459561,0,3,9,0,0,3.3231401197959167
2025-09-25 04:07:02.979527,tomates,produce,63,72,9,1.4029574683867456,1,3,9,0,0,-7.484865365565536
2025-09-25 04:07:02.979527,salade,produce,46,57,11,7.124648908332206,0,3,9,0,0,-9.649234605801045
2025-09-25 04:07:02.979527,carottes,produce,67,80,13,9.709213803190229,0,3,9,0,0,6.860514599984393
2025-09-25 04:07:02.979527,pommes,produce,53,61,8,4.362038662894703,0,3,9,0,0,3.8406544893930725
2025-09-25 04:07:02.979527,bananes,produce,36,42,6,9.972246427245004,0,3,9,0,0,-0.3269474809409311
2025-09-24 04:07:02.979528,lait_frais,dairy,42,48,6,1.572160627730704,0,2,9,0,0,-0.6267909727317188
2025-09-24 04:07:02.979528,yaourt,dairy,51,56,5,7.450902752458161,0,2,9,0,0,9.551423205012382
2025-09-24 04:07:02.979528,fromage,dairy,62,75,13,2.1446264472842067,0,2,9,0,0,19.647251329163893
2025-09-24 04:07:02.979528,steak_boeuf,meat,56,68,12,3.9308905267139442,1,2,9,0,0,0.35263551971728613
2025-09-24 04:07:02.979528,poulet_frais,meat,31,43,12,4.534117220816291,0,2,9,0,0,-15.151910621985522
2025-09-24 04:07:02.979528,saumon,fish,63,72,9,4.394587050886216,0,2,9,0,0,13.668742674445246
2025-09-24 04:07:02.979528,crevettes,fish,38,48,10,8.519491585459669,0,2,9,0,0,-6.465728842425266
2025-09-24 04:07:02.979528,tomates,produce,41,47,6,6.083152149580892,0,2,9,0,0,-10.81548003614395
2025-09-24 04:07:02.979528,salade,produce,39,45,6,3.2495392256337796,0,2,9,0,0,-13.985675738191413
2025-09-24 04:07:02.979528,carottes,produce,48,63,15,8.343159453983565,0,2,9,0,0,5.629692366905709
2025-09-24 04:07:02.979528,pommes,produce,34,44,10,4.919707311243979,0,2,9,0,0,-5.767713305683327
2025-09-24 04:07:02.979528,bananes,produce,63,72,9,4.393736253811124,0,2,9,0,0,7.55391225825756
2025-09-23 04:07:02.979529,lait_frais,dairy,46,56,10,1.7255295155139767,0,1,9,0,0,6.385924587773739
