date,product_id,category,quantity_sold,stock_quantity,expiration_days,price,promotion,day_of_week,waste_risk
2024-09-15,3,laitage,16,104,4,11.85,0,5,22.0
2024-09-16,23,laitage,26,142,2,11.59,0,3,58.0
2024-09-17,2,legumes,7,118,6,13.84,0,5,18.5
2024-09-18,31,laitage,22,75,7,1.18,0,3,7.57
2024-09-19,21,laitage,25,134,5,10.62,0,3,21.8
2024-09-20,43,boulangerie,25,47,7,10.2,0,4,3.14
2024-09-21,5,legumes,18,104,9,10.26,0,4,9.56
2024-09-22,39,viande,23,63,8,1.22,0,1,5.0
2024-09-23,19,viande,1,25,1,2.0,0,4,24.0
2024-09-24,1,legumes,0,124,7,13.61,0,3,17.71
2024-09-25,8,legumes,14,125,5,14.65,0,0,22.2
2024-09-26,36,legumes,14,78,7,10.08,1,0,9.14
2024-09-27,22,fruits,12,49,5,7.88,0,5,7.4
2024-09-28,18,boulangerie,3,15,7,9.92,1,3,1.71
2024-09-29,9,fruits,25,60,3,11.6,0,6,11.67
2024-09-30,47,boulangerie,26,83,3,14.14,0,1,19.0
2024-10-01,9,viande,3,76,1,12.72,0,4,73.0
2024-10-02,21,fruits,11,14,8,2.7,0,6,0.38
2024-10-03,19,legumes,5,147,3,9.77,0,4,47.33
2024-10-04,24,boulangerie,10,78,3,11.54,0,3,22.67
2024-10-05,48,boulangerie,28,29,4,11.1,0,1,0.25
2024-10-06,43,boulangerie,1,135,4,7.14,1,5,33.5
2024-10-07,36,viande,7,78,1,7.64,0,4,71.0
2024-10-08,12,legumes,20,29,8,7.41,0,6,1.12
2024-10-09,25,laitage,23,28,3,2.35,0,0,1.67
2024-10-10,49,fruits,6,67,5,12.31,0,0,12.2
2024-10-11,4,boulangerie,7,112,9,0.58,0,1,11.67
2024-10-12,16,boulangerie,2,107,2,14.7,0,6,52.5
2024-10-13,13,legumes,17,85,3,4.87,0,2,22.67
2024-10-14,48,legumes,16,103,5,10.92,0,1,17.4
2024-10-15,25,laitage,16,29,1,11.2,0,1,13.0
2024-10-16,12,fruits,4,60,2,14.59,1,4,28.0
2024-10-17,12,fruits,4,84,8,9.91,0,1,10.0
2024-10-18,16,boulangerie,9,83,8,10.1,0,2,9.25
2024-10-19,6,fruits,24,21,9,14.01,0,5,-0.33
2024-10-20,42,viande,14,122,6,10.54,0,5,18.0
2024-10-21,19,viande,4,46,9,1.11,0,5,4.67
2024-10-22,27,laitage,0,132,3,7.53,0,2,44.0
2024-10-23,5,fruits,16,141,6,3.13,0,4,20.83
2024-10-24,37,fruits,8,138,8,11.33,0,3,16.25
2024-10-25,37,viande,19,6,8,4.77,0,3,-1.62
2024-10-26,47,viande,8,131,8,7.39,0,3,15.38
2024-10-27,26,fruits,11,148,7,13.49,1,0,19.57
2024-10-28,22,legumes,2,110,5,7.7,0,2,21.6
2024-10-29,13,laitage,19,24,2,3.33,0,1,2.5
2024-10-30,1,laitage,8,133,4,1.27,0,3,31.25
2024-10-31,4,fruits,23,137,2,9.44,0,4,57.0
2024-11-01,36,boulangerie,10,86,5,6.44,1,6,15.2
2024-11-02,9,viande,15,101,2,13.95,1,5,43.0
2024-11-03,23,laitage,18,17,5,7.24,0,4,-0.2
2024-11-04,8,boulangerie,7,114,5,7.82,0,1,21.4
2024-11-05,27,viande,19,145,8,3.98,1,1,15.75
2024-11-06,31,viande,3,29,9,8.74,0,3,2.89
2024-11-07,3,viande,24,6,3,12.01,0,3,-6.0
2024-11-08,40,fruits,27,118,3,2.04,0,1,30.33
2024-11-09,49,fruits,23,60,3,10.39,0,3,12.33
2024-11-10,16,laitage,15,17,7,4.96,0,3,0.29
2024-11-11,10,fruits,4,21,3,4.4,0,6,5.67
2024-11-12,49,legumes,5,144,5,0.96,0,6,27.8
2024-11-13,31,laitage,3,95,4,6.05,0,0,23.0
2024-11-14,22,legumes,14,9,8,10.76,1,3,-0.62
2024-11-15,17,fruits,20,92,1,4.85,0,5,72.0
2024-11-16,4,viande,6,12,8,1.78,1,2,0.75
2024-11-17,32,legumes,8,26,1,9.61,0,2,18.0
2024-11-18,31,legumes,23,126,1,10.3,0,6,103.0
2024-11-19,28,legumes,8,92,8,14.59,1,5,10.5
2024-11-20,2,boulangerie,12,23,5,11.02,0,4,2.2
2024-11-21,5,boulangerie,8,23,1,7.93,0,5,15.0
2024-11-22,44,boulangerie,20,95,1,10.23,0,2,75.0
2024-11-23,16,viande,20,120,8,3.73,0,6,12.5
2024-11-24,4,fruits,2,109,6,7.57,1,1,17.83
2024-11-25,44,legumes,20,112,3,3.94,0,5,30.67
2024-11-26,35,boulangerie,28,69,6,8.04,0,6,6.83
2024-11-27,29,laitage,7,70,8,11.29,0,6,7.88
2024-11-28,9,fruits,28,14,5,8.39,0,2,-2.8
2024-11-29,25,boulangerie,24,117,4,14.96,0,4,23.25
2024-11-30,14,legumes,4,5,6,2.99,0,6,0.17
2024-12-01,21,legumes,0,104,3,8.62,0,1,34.67
2024-12-02,46,boulangerie,26,38,3,12.29,0,2,4.0
2024-12-03,47,legumes,16,19,7,14.71,1,1,0.43
2024-12-04,5,legumes,23,11,5,13.65,0,5,-2.4
2024-12-05,36,legumes,22,24,5,7.07,0,2,0.4
2024-12-06,4,fruits,9,10,2,9.03,1,0,0.5
2024-12-07,28,viande,22,138,8,3.64,1,2,14.5
2024-12-08,29,fruits,21,75,5,7.93,0,0,10.8
2024-12-09,38,boulangerie,23,30,6,2.38,0,6,1.17
2024-12-10,7,boulangerie,28,100,3,9.81,0,5,24.0
2024-12-11,7,legumes,16,82,1,1.77,0,1,66.0
2024-12-12,43,fruits,18,68,6,11.84,0,2,8.33
2024-12-13,48,laitage,22,38,5,3.52,0,2,3.2
2024-12-14,15,legumes,4,149,9,8.8,0,2,16.11
2024-12-15,49,viande,4,80,2,12.09,0,2,38.0
2024-12-16,42,legumes,18,58,1,14.36,0,1,40.0
2024-12-17,19,fruits,0,77,7,6.94,0,5,11.0
2024-12-18,13,viande,24,98,5,7.14,0,5,14.8
2024-12-19,19,legumes,5,82,1,6.16,0,3,77.0
2024-12-20,9,laitage,28,40,3,12.39,1,3,4.0
2024-12-21,46,laitage,3,46,7,11.09,1,5,6.14
2024-12-22,8,viande,14,53,8,7.29,0,4,4.88
2024-12-23,41,legumes,11,79,5,14.9,0,6,13.6
2024-12-24,45,fruits,18,20,6,6.13,1,1,0.33
2024-12-25,21,legumes,6,132,5,6.02,1,6,25.2
2024-12-26,17,fruits,22,133,1,1.11,1,4,111.0
2024-12-27,37,boulangerie,12,121,4,3.1,0,1,27.25
2024-12-28,11,boulangerie,17,116,6,2.48,0,5,16.5
2024-12-29,40,viande,11,19,2,2.88,0,0,4.0
2024-12-30,23,laitage,3,52,9,5.0,0,5,5.44
2024-12-31,33,laitage,3,147,4,1.81,1,6,36.0
2025-01-01,31,boulangerie,19,93,5,1.36,0,0,14.8
2025-01-02,38,viande,19,111,5,2.94,0,0,18.4
2025-01-03,13,fruits,1,44,5,2.99,0,0,8.6
2025-01-04,35,fruits,28,72,4,13.68,0,3,11.0
2025-01-05,21,fruits,29,22,5,3.28,0,6,-1.4
2025-01-06,46,legumes,20,11,4,9.96,0,3,-2.25
2025-01-07,9,legumes,5,78,4,4.37,0,6,18.25
2025-01-08,31,legumes,12,62,3,10.0,1,0,16.67
2025-01-09,44,legumes,20,60,6,3.95,0,0,6.67
2025-01-10,5,laitage,26,16,1,0.99,0,6,-10.0
2025-01-11,17,fruits,7,137,6,3.78,0,4,21.67
2025-01-12,17,boulangerie,18,75,4,13.87,0,5,14.25
2025-01-13,14,laitage,12,110,8,9.96,0,6,12.25
2025-01-14,46,legumes,11,77,1,11.51,0,3,66.0
2025-01-15,16,viande,11,78,1,1.82,0,3,67.0
2025-01-16,40,boulangerie,7,128,2,1.26,0,4,60.5
2025-01-17,18,fruits,14,49,9,12.74,0,4,3.89
2025-01-18,15,viande,8,138,2,1.71,0,2,65.0
2025-01-19,7,boulangerie,27,92,2,9.07,1,2,32.5
2025-01-20,26,fruits,16,120,1,4.61,1,1,104.0
2025-01-21,11,laitage,22,145,1,10.33,0,2,123.0
2025-01-22,1,boulangerie,8,147,2,4.92,0,2,69.5
2025-01-23,45,legumes,22,27,3,12.01,1,0,1.67
2025-01-24,44,viande,5,56,6,12.17,0,1,8.5
2025-01-25,27,legumes,6,71,5,5.81,0,5,13.0
2025-01-26,49,viande,0,48,8,5.34,0,0,6.0
2025-01-27,45,legumes,28,39,1,3.26,0,5,11.0
2025-01-28,7,boulangerie,17,135,5,10.4,0,3,23.6
2025-01-29,41,viande,12,87,2,11.54,1,3,37.5
2025-01-30,29,fruits,18,59,7,10.03,0,0,5.86
2025-01-31,11,laitage,25,98,7,0.61,0,2,10.43
2025-02-01,12,boulangerie,12,65,1,5.92,0,3,53.0
2025-02-02,11,viande,10,78,8,1.25,1,6,8.5
2025-02-03,43,legumes,0,18,1,14.98,0,5,18.0
2025-02-04,44,legumes,23,94,7,11.87,0,5,10.14
2025-02-05,15,fruits,20,84,7,10.18,0,6,9.14
2025-02-06,22,viande,17,113,3,8.06,0,3,32.0
2025-02-07,34,legumes,6,80,1,7.37,0,5,74.0
2025-02-08,38,laitage,22,149,9,8.78,0,0,14.11
2025-02-09,31,viande,20,77,8,4.21,0,6,7.12
2025-02-10,15,viande,25,24,4,12.83,0,3,-0.25
2025-02-11,19,legumes,13,49,5,9.94,0,1,7.2
2025-02-12,7,fruits,4,43,5,2.73,0,4,7.8
2025-02-13,48,viande,25,93,3,4.86,0,3,22.67
2025-02-14,35,viande,10,111,2,10.74,1,1,50.5
2025-02-15,21,boulangerie,2,39,4,2.21,0,1,9.25
2025-02-16,1,fruits,4,134,3,13.55,0,0,43.33
2025-02-17,21,boulangerie,5,132,7,7.47,0,2,18.14
2025-02-18,4,viande,16,97,7,1.83,0,4,11.57
2025-02-19,29,fruits,20,131,7,11.29,0,4,15.86
2025-02-20,6,viande,25,143,3,3.2,1,0,39.33
2025-02-21,30,boulangerie,29,110,8,9.24,0,5,10.12
2025-02-22,33,viande,18,41,8,11.84,0,5,2.88
2025-02-23,38,laitage,13,8,8,1.79,0,0,-0.62
2025-02-24,3,laitage,3,60,8,9.12,0,4,7.12
2025-02-25,37,boulangerie,1,126,8,7.75,0,6,15.62
2025-02-26,17,legumes,2,16,7,12.0,1,5,2.0
2025-02-27,32,laitage,13,24,6,11.16,1,3,1.83
2025-02-28,5,legumes,28,146,9,9.03,0,3,13.11
2025-03-01,9,laitage,18,80,3,13.93,0,5,20.67
2025-03-02,22,legumes,24,51,7,11.51,0,2,3.86
2025-03-03,24,legumes,3,40,5,14.89,0,0,7.4
2025-03-04,2,laitage,22,112,2,12.72,1,1,45.0
2025-03-05,21,boulangerie,11,27,6,6.36,0,6,2.67
2025-03-06,16,fruits,16,142,3,9.48,0,4,42.0
2025-03-07,45,boulangerie,29,144,1,2.77,1,1,115.0
2025-03-08,25,fruits,13,60,6,11.77,0,4,7.83
2025-03-09,27,fruits,28,134,5,2.58,0,1,21.2
2025-03-10,44,fruits,23,108,3,1.28,0,4,28.33
2025-03-11,45,fruits,18,109,6,4.14,0,1,15.17
2025-03-12,43,fruits,0,39,5,7.55,1,5,7.8
2025-03-13,3,viande,24,27,6,7.66,0,0,0.5
2025-03-14,11,fruits,7,79,2,14.66,0,6,36.0
2025-03-15,35,boulangerie,23,143,8,0.92,1,5,15.0
2025-03-16,10,laitage,19,63,9,9.66,0,6,4.89
2025-03-17,2,viande,0,82,8,2.73,1,0,10.25
2025-03-18,21,laitage,21,77,9,5.74,0,1,6.22
2025-03-19,19,fruits,26,50,7,7.61,0,5,3.43
2025-03-20,42,viande,9,54,8,11.17,0,3,5.62
2025-03-21,6,boulangerie,11,127,3,6.81,1,5,38.67
2025-03-22,28,boulangerie,18,19,5,7.77,0,6,0.2
2025-03-23,38,fruits,19,83,8,13.07,1,3,8.0
2025-03-24,1,laitage,24,144,3,9.35,1,0,40.0
2025-03-25,5,viande,24,119,2,13.1,1,3,47.5
2025-03-26,4,fruits,0,53,1,13.1,0,6,53.0
2025-03-27,38,boulangerie,12,66,9,5.63,0,4,6.0
2025-03-28,21,fruits,0,131,5,4.9,0,6,26.2
2025-03-29,10,viande,29,133,1,2.55,0,1,104.0
2025-03-30,43,legumes,21,45,6,4.57,0,2,4.0
2025-03-31,10,legumes,0,79,2,4.46,0,2,39.5
2025-04-01,48,viande,15,85,1,14.48,0,4,70.0
2025-04-02,8,fruits,11,124,1,8.39,0,0,113.0
2025-04-03,39,fruits,8,27,5,6.97,0,2,3.8
2025-04-04,21,laitage,23,25,6,5.66,1,5,0.33
2025-04-05,36,viande,27,47,5,1.46,0,4,4.0
2025-04-06,44,viande,10,38,6,12.6,0,3,4.67
2025-04-07,47,viande,28,123,2,4.42,0,2,47.5
2025-04-08,41,viande,24,12,1,8.64,0,5,-12.0
2025-04-09,10,viande,7,62,1,9.87,0,3,55.0
2025-04-10,9,boulangerie,11,92,3,5.6,0,6,27.0
2025-04-11,11,laitage,18,40,9,11.06,0,5,2.44
2025-04-12,26,boulangerie,6,109,1,4.25,0,1,103.0
2025-04-13,4,boulangerie,17,76,8,5.02,1,1,7.38
2025-04-14,49,fruits,29,64,4,7.9,1,4,8.75
2025-04-15,10,laitage,3,114,6,1.22,1,1,18.5
2025-04-16,32,legumes,25,10,3,5.68,0,0,-5.0
2025-04-17,13,viande,19,84,9,5.53,0,6,7.22
2025-04-18,42,fruits,15,55,8,0.52,1,5,5.0
2025-04-19,13,boulangerie,1,127,1,6.56,0,3,126.0
2025-04-20,8,laitage,14,102,8,13.19,1,1,11.0
2025-04-21,34,boulangerie,26,55,8,8.35,0,1,3.62
2025-04-22,13,legumes,20,134,7,10.79,0,1,16.29
2025-04-23,24,fruits,13,129,5,2.36,0,5,23.2
2025-04-24,34,legumes,10,73,8,6.46,0,5,7.88
2025-04-25,14,legumes,15,148,3,11.23,0,4,44.33
2025-04-26,29,boulangerie,15,32,4,13.22,0,5,4.25
2025-04-27,32,fruits,22,99,9,5.1,0,1,8.56
2025-04-28,3,laitage,14,84,2,4.78,0,6,35.0
2025-04-29,36,boulangerie,29,104,3,10.95,0,1,25.0
2025-04-30,49,laitage,5,93,9,11.92,0,1,9.78
2025-05-01,17,fruits,2,43,9,10.38,0,2,4.56
2025-05-02,31,fruits,2,39,1,6.48,0,6,37.0
2025-05-03,19,legumes,1,103,4,8.77,0,1,25.5
2025-05-04,3,legumes,1,74,3,3.38,0,1,24.33
2025-05-05,12,boulangerie,6,63,1,2.83,0,6,57.0
2025-05-06,2,viande,6,97,2,9.7,0,3,45.5
2025-05-07,39,legumes,13,18,5,2.52,0,1,1.0
2025-05-08,37,boulangerie,29,8,7,14.4,0,0,-3.0
2025-05-09,29,viande,18,73,9,3.1,0,1,6.11
2025-05-10,25,legumes,3,125,5,14.27,0,6,24.4
2025-05-11,12,fruits,29,139,8,2.78,0,4,13.75
2025-05-12,48,legumes,23,145,6,0.5,0,4,20.33
